Número de autores,Número de palavras-chave,Comprimento do resumo,Comprimento do artigo,Número de referências,Número de figuras,Número de tabelas,Recebeu subsídios,Número de países,Número de instituições,Número de autores homens,Número de autores mulheres,Idade média,Citações no primeiro ano,Citações nos primeiros 2 anos,Número de picos de citação,Numero total de citações ,Comprimento do Artigo em palavras,Apresentação em Keynote,Apresentação em WorkShop,Apresentação em Sessão Paralela
7,4,326,16,60,16,6,1,1,1,5,2,38,0,2,0,4,14216,1,0,0
4,5,240,16,111,7,3,0,1,1,3,1,40,2,3,1,2,14856,0,1,0
7,3,246,16,76,14,0,1,2,3,4,0,37,0,4,1,3,12567,1,0,0
7,0,305,13,70,11,3,1,2,3,4,2,39,2,0,1,2,11812,1,0,0
2,4,242,13,23,7,11,0,1,1,2,0,42,1,2,1,3,11157,0,1,0
9,3,197,15,81,12,0,0,1,4,8,1,36,0,0,1,24,11516,0,0,1
5,4,298,14,63,14,4,0,2,3,4,1,41,5,28,2,34,12994,1,0,0
4,4,208,14,80,12,2,0,2,4,4,0,39,3,8,2,17,12918,0,1,0
4,4,244,14,62,6,1,0,3,3,3,1,38,4,10,3,26,12161,0,1,0
6,4,243,14,84,12,1,1,2,2,5,1,40,0,0,1,26,12504,0,1,0
5,7,250,15,79,13,0,1,1,1,4,1,37,2,17,2,49,12644,0,0,1
5,6,294,14,45,10,0,0,2,2,3,2,35,7,5,2,25,13922,0,0,1
5,3,265,16,55,39,2,0,1,4,5,0,33,1,3,1,5,10626,0,0,1
4,3,151,16,62,19,0,0,2,1,4,0,42,0,0,1,6,10682,0,0,1
5,0,165,13,45,11,7,0,2,1,0,0,35,1,3,1,4,11133,0,0,1
3,12,269,13,42,10,4,0,1,1,3,0,28,1,3,0,5,12250,0,0,1
3,4,34,13,2,4,1,1,2,2,1,2,26,0,0,0,2,11677,1,0,0
6,10,317,15,25,13,0,1,1,1,3,3,36,1,4,40,645,10845,0,0,1
4,2,110,12,29,13,0,1,2,1,4,0,41,3,19,12,673,14783,1,0,0
8,5,213,12,47,15,1,1,2,1,7,1,32,0,6,2,51,13648,0,0,1
2,6,261,14,37,17,2,1,2,1,2,0,57,0,11,2,80,12719,0,1,0
9,9,225,12,37,14,3,1,2,2,6,3,34,0,3,4,161,10959,1,0,0
5,3,102,12,18,16,5,0,2,2,5,0,35,2,12,3,110,9930,0,0,1
4,0,219,14,23,2,0,1,2,2,4,0,44,4,13,4,123,10268,0,0,1
3,7,280,12,21,13,0,0,1,2,3,0,49,3,6,2,65,9847,0,0,1
